MAE,RMSE,WAPE,sMAPE,dataset,fold,model,WAPE_CI_low,WAPE_CI_high,flows,rows,step_minutes,lookback_steps,horizon_steps,train_windows,val_windows,test_windows,constant_flows,ensemble_weights,train_summary
18977.310546875,92007.1640625,16.737348556518555,48.8087158203125,CERNET,2,N-HiTS-Small,12.831558120324091,22.142547579930202,196,2880,5,72,12,31556,4704,4704,43,{},"{""best_val_huber"": 0.13577322661876678, ""epochs_run"": 2.0, ""final_train_huber"": 0.09115701418198595}"
20655.1796875,99915.203125,18.217172622680664,48.385345458984375,CERNET,2,All-flow WRTCN,15.303129119812237,22.36804225777072,196,2880,5,72,12,31556,4704,4704,43,{},"{""best_val_huber"": 0.15091627836227417, ""epochs_run"": 2.0, ""final_train_huber"": 0.08926443396366841}"
20404.30078125,100884.8125,17.995906829833984,54.156917572021484,CERNET,2,GraphAttention-Small,14.300316949253725,23.337381496307863,196,2880,5,72,12,31556,4704,4704,43,{},"{""best_val_huber"": 0.16893243789672852, ""epochs_run"": 2.0, ""final_train_huber"": 0.1140629116977964}"
18504.064453125,95834.7890625,16.31995964050293,47.49448776245117,CERNET,2,SCALE-TM neural ensemble,12.669243979388783,21.974481590439346,196,2880,5,72,12,31556,4704,4704,43,"{""All-flow WRTCN"": 0.4000000059604645, ""Damped persistence"": 0.5, ""PatchTST-Small"": 0.10000000149011612}",{}
18470.84765625,96953.671875,16.290664672851562,48.475372314453125,CERNET,2,SCALE-TM no-WRTCN ensemble,12.05476812427103,22.774815322584725,196,2880,5,72,12,31556,4704,4704,43,"{""Damped persistence"": 0.4000000059604645, ""N-BEATS-Small"": 0.30000001192092896, ""N-HiTS-Small"": 0.10000000149011612, ""PatchTST-Small"": 0.20000000298023224}",{}
19111.43359375,91726.171875,16.85563850402832,48.46004104614258,CERNET,2,Uniform candidate ensemble,13.203349667652809,22.168272702975912,196,2880,5,72,12,31556,4704,4704,43,"{""All-flow WRTCN"": 0.1, ""DLinear"": 0.1, ""Damped persistence"": 0.1, ""GraphAttention-Small"": 0.1, ""N-BEATS-Small"": 0.1, ""N-HiTS-Small"": 0.1, ""NLinear"": 0.1, ""PatchLinear"": 0.1, ""PatchTST-Small"": 0.1, ""TimesNet-Small"": 0.1}",{}
21347.5390625,109578.3515625,17.886138916015625,37.295188903808594,CERNET,3,NLinear,12.255307650201878,26.763102427578566,196,2880,5,72,12,36456,4704,4704,43,{},{}
21953.564453125,98351.359375,18.393901824951172,45.5177001953125,CERNET,3,DLinear,14.92088075461019,23.98746432840287,196,2880,5,72,12,36456,4704,4704,43,{},{}
21837.939453125,98013.3984375,18.297021865844727,45.282291412353516,CERNET,3,PatchLinear,14.709165179653905,23.37061217233863,196,2880,5,72,12,36456,4704,4704,43,{},{}
16666.669921875,76249.265625,13.964250564575195,29.97847557067871,CERNET,3,Damped persistence,11.01256112782425,19.19195863996335,196,2880,5,72,12,36456,4704,4704,43,{},{}
